,,,$C_0 = 0.75$,$C_0 = 0.75$,$C_0 = 0.75$,$C_0 = 0.75$,$C_0 = 1$,$C_0 = 1$,$C_0 = 1$,$C_0 = 1$,$C_0 = 1.25$,$C_0 = 1.25$,$C_0 = 1.25$,$C_0 = 1.25$
,,,$\mu$,$\sigma$,S.R,Sortino.R,$\mu$,$\sigma$,S.R,Sortino.R,$\mu$,$\sigma$,S.R,Sortino.R
$K = \lfloor 0.2N \rfloor$,SVMMVO 20,$\kappa =$0.025,0.17429052885567664,0.16621044445500854,1.0486135779683523,1.5786502921185073,0.17631957531593478,0.1776753812723311,0.9923691963023384,1.5590107172576633,0.17696385353965027,0.18165175982390025,0.9741928936510463,1.5378776744661224
$K = \lfloor 0.2N \rfloor$,SVMMVO 20,$\kappa =$0.05,0.17422484371560287,0.1662021044388006,1.0482709849185838,1.5782607988646353,0.17617765482949732,0.17769922468401514,0.9914373860818836,1.5574923504364955,0.17696385353965027,0.18165175982390025,0.9741928936510463,1.5378776744661224
$K = \lfloor 0.4N \rfloor$,Card MVO,,0.17424898768598318,0.16620676606487733,1.0483868485712948,1.578267848484151,0.17612058959049648,0.17770729984917163,0.991071215082206,1.5567790340445562,0.17759028624282447,0.18154899666077925,0.978194809716566,1.5428398159171888
$K = \lfloor 0.4N \rfloor$,SVMMVO 20,$\kappa =$0.0125,0.17424898768598318,0.16620676606487733,1.0483868485712948,1.578267848484151,0.17600132102303423,0.17774444893426114,0.9901930669470772,1.555248829175879,0.17625923554218126,0.18172654764835083,0.9699146207479322,1.534963922109924
$K = \lfloor 0.4N \rfloor$,SVMMVO 20,$\kappa =$0.025,0.17424898768598318,0.16620676606487733,1.0483868485712948,1.578267848484151,0.17608123527503405,0.17770873732372974,0.9908417443441123,1.5564870364808328,0.17682163990849098,0.18165674862712172,0.9733832695169747,1.5365601016827508
$K = \lfloor 0.4N \rfloor$,SVMMVO 20,$\kappa =$0.05,0.17424898768598318,0.16620676606487733,1.0483868485712948,1.578267848484151,0.17640009180358263,0.17766477236205125,0.9928816470386631,1.5600617570565167,0.17693109791718786,0.1816458143235782,0.9740444533558492,1.537175578641418
$K = \lfloor 0.6N \rfloor$,Card MVO,,0.17426186273052569,0.166246968937401,1.0482107664539893,1.5755662907141539,0.17285951794693855,0.1738214175924861,0.9944661615417113,1.4731490201988964,0.17386780909871558,0.18036772098121479,0.9639629982175347,1.434965431241555
$K = \lfloor 0.6N \rfloor$,SVMMVO 20,$\kappa =$0.0125,0.17426186273052569,0.166246968937401,1.0482107664539893,1.5755662907141539,0.17550744971677013,0.17555983836134387,0.999701590950056,1.5525033769695333,0.17168726634374032,0.18009751299699583,0.9533017057631672,1.4130314344334762
$K = \lfloor 0.6N \rfloor$,SVMMVO 20,$\kappa =$0.025,0.17422414063975467,0.1662029353390332,1.0482615140602614,1.5777833913636172,0.17660672357611773,0.1781387200697872,0.9913999803463879,1.546595244522038,0.17545814689687145,0.1838114081201532,0.9545552623272358,1.4862726786511153
$K = \lfloor 0.6N \rfloor$,SVMMVO 20,$\kappa =$0.05,0.1740916993900754,0.16621497534429763,1.0473887748649717,1.5773479002446427,0.17834520763986994,0.1791070587494742,0.9957463926049397,1.5822070226314242,0.17666376182692556,0.18097099771167224,0.9761993029866084,1.5355756696910257
$K = \lfloor 0.8N \rfloor$,Card MVO,,0.17637702263351507,0.16465070668841625,1.07121934779964,1.6180889147634558,0.17870248328800553,0.1777433815536603,1.0053959912653947,1.5869247884220141,0.1756506656883241,0.1820174721578116,0.9650209048944081,1.4515630215184188
$K = \lfloor 0.8N \rfloor$,SVMMVO 20,$\kappa =$0.0125,0.17389494337365985,0.1650203115385457,1.0537790272747192,1.5715423466745126,0.17320356406413673,0.17431410173390252,0.9936291002350395,1.4951617974576,0.1777227122828089,0.1816679083347514,0.9782834729143636,1.4751717167633867
$K = \lfloor 0.8N \rfloor$,SVMMVO 20,$\kappa =$0.025,0.1731461875154432,0.16494444212737513,1.049724290690161,1.569451491847288,0.17602431974364485,0.17775192127927672,0.9902808277784095,1.5654511706449812,0.17688864812581517,0.18001534875423503,0.9826309220293844,1.5606654518936158
$K = \lfloor 0.8N \rfloor$,SVMMVO 20,$\kappa =$0.05,0.17533105042166053,0.1662402930991882,1.0546844399332733,1.5964217200467765,0.1758212881442267,0.17678426061405214,0.994552838208104,1.5911732741592413,0.1759691337297422,0.1820392907925793,0.9666546873677199,1.5193500325791451
